Hours since 00:00 Jan 1,System power generated (kW)
2242,0.696826
2243,0.76589
2244,0.788238
2245,0.755615
2246,0.6665
2247,0.525145
2248,0.33288
2249,0.110721
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0.0412244
2263,0.218582
2264,0.431384
2265,0.601501
2266,0.71848
2267,0.787223
2268,0.807368
2269,0.777095
2270,0.59682
2271,0.413149
2272,0.341061
2273,0.11129
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0.00242977
2287,0.174638
2288,0.249761
2289,0.459669
2290,0.52596
2291,0.588911
2292,0.439816
2293,0.651286
2294,0.679877
2295,0.525084
2296,0.319669
2297,0.0988309
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0.0119207
2311,0.149484
2312,0.224756
2313,0.3678
2314,0.584442
2315,0.686888
2316,0.605674
2317,0.617581
2318,0.374443
2319,0.231041
2320,0.075366
2321,0.0409197
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
